100000,1000000,10000000
2147467617,2147480994,2147483155
2147464417,2147479773,2147483147
2147455909,2147478340,2147482999
2147426948,2147477515,2147482895
2147402726,2147476235,2147482587
2147378262,2147469087,2147482521
2147341521,2147463654,2147482365
2147274194,2147462216,2147482192
2147262919,2147461870,2147482165
2147251950,2147457089,2147482102
2147249119,2147455252,2147482061
2147245407,2147454936,2147481877
2147241901,2147453720,2147481869
2147167878,2147452101,2147481823
2147099547,2147447497,2147481379
2147094233,2147447346,2147481208
2147082093,2147446207,2147481180
2147066256,2147445506,2147480986
2147057379,2147443927,2147480961
2147041980,2147442548,2147480186
2146997929,2147442509,2147480081
2146989389,2147441213,2147480035
2146981262,2147436943,2147479541
2146964665,2147436128,2147478779
2146936129,2147434700,2147478577
2146905050,2147425648,2147478303
2146898482,2147425065,2147478213
2146894164,2147421678,2147478166
2146874273,2147421282,2147477940
2146871431,2147419884,2147477897
2146844950,2147416534,2147477875
2146830712,2147414134,2147477853
2146830595,2147412028,2147477031
2146750093,2147411432,2147476303
2146734271,2147406929,2147476295
2146727799,2147404443,2147476196
2146712104,2147401850,2147476022
2146707638,2147401469,2147475798
2146689258,2147395022,2147475456
2146673142,2147388494,2147475393
2146637479,2147386797,2147475165
2146628471,2147386755,2147475126
2146620445,2147384792,2147475070
2146593954,2147379586,2147475012
2146592898,2147378970,2147474985
2146581838,2147378375,2147474765
2146577654,2147377082,2147474631
2146566910,2147370723,2147474249
2146530304,2147365859,2147473826
2146476124,2147365543,2147473766
2146464681,2147364806,2147473663
2146464024,2147364075,2147473571
2146437046,2147357658,2147473049
2146435057,2147354863,2147472995
2146419924,2147348682,2147472827
2146396878,2147348048,2147472158
2146393838,2147346498,2147471946
2146392245,2147346375,2147471910
2146365331,2147345881,2147471612
2146313480,2147344314,2147471588
2146277768,2147343836,2147471588
2146254414,2147343202,2147471491
2146193569,2147338672,2147471130
2146168549,2147336505,2147471102
2146140319,2147335374,2147471016
2146137703,2147332516,2147470842
2146121686,2147332182,2147470299
2146080461,2147329960,2147470045
2146067569,2147327748,2147469645
2146054647,2147326304,2147469303
2146038812,2147324439,2147469065
2146000384,2147321038,2147468889
2145988988,2147320920,2147468560
2145987685,2147318736,2147468334
2145986661,2147318735,2147468053
2145981200,2147316683,2147468026
2145952663,2147316544,2147467479
2145942115,2147316483,2147467456
2145940859,2147316342,2147467312
2145917543,2147310155,2147467154
2145870265,2147309888,2147467041
2145866175,2147304086,2147466910
2145835565,2147300627,2147466878
2145829837,2147300151,2147466614
2145793457,2147298413,2147466521
2145754704,2147296860,2147466409
2145750196,2147288072,2147465403
2145740858,2147287111,2147464799
2145731789,2147286958,2147464512
2145711308,2147284427,2147464339
2145703361,2147283378,2147464260
2145663643,2147283337,2147464034
2145652869,2147283270,2147463768
2145636390,2147283048,2147463695
2145574300,2147280773,2147463671
2145549211,2147275788,2147463480
2145536303,2147274573,2147463140
2145499459,2147274116,2147462951
2145487891,2147270228,2147462846
2145458728,2147270072,2147462821
